Algorithm,Type,Security Level,Key Generation (ms),Key Gen Std (ms),Public Key Size (bytes),Secret Key Size (bytes),Message Size (bytes),Signing (ms),Sign Std (ms),Verification (ms),Verify Std (ms),Signature Size (bytes),Family
Dilithium2,Post-Quantum,2,0.015631914138793945,0.0007405487933957034,1312,0,1024,0.048136234283447266,0.028617541646349488,0.017056941986083984,0.0008641887826396191,2420,Dilithium2
Dilithium2,Post-Quantum,2,0.015631914138793945,0.0007405487933957034,1312,0,10240,0.05708622932434082,0.028455115114382798,0.02663731575012207,0.0009633224429985858,2420,Dilithium2
Dilithium2,Post-Quantum,2,0.015631914138793945,0.0007405487933957034,1312,0,102400,0.15334033966064453,0.02988854301809297,0.1206197738647461,0.0014976965541907644,2420,Dilithium2
Dilithium2,Post-Quantum,2,0.015631914138793945,0.0007405487933957034,1312,0,1048576,1.1062545776367188,0.031082130964905044,1.0730605125427246,0.005796697718931312,2420,Dilithium2
Dilithium3,Post-Quantum,3,0.0344846248626709,0.0017399767484676458,1952,0,1024,0.0726168155670166,0.04545343635091512,0.025543928146362305,0.0011052875243207226,3293,Dilithium3
Dilithium3,Post-Quantum,3,0.0344846248626709,0.0017399767484676458,1952,0,10240,0.08140301704406738,0.04269439787071479,0.03511929512023926,0.0012248868837310212,3293,Dilithium3
Dilithium3,Post-Quantum,3,0.0344846248626709,0.0017399767484676458,1952,0,102400,0.18059277534484863,0.047754143012728185,0.1289980411529541,0.0015712083016308168,3293,Dilithium3
Dilithium3,Post-Quantum,3,0.0344846248626709,0.0017399767484676458,1952,0,1048576,1.129356861114502,0.046873635968506466,1.0795695781707764,0.005663709252582898,3293,Dilithium3
Dilithium5,Post-Quantum,5,0.04042792320251465,0.00185867905466561,2592,0,1024,0.08804130554199219,0.043796439108839035,0.039895057678222656,0.0017129304894920178,4595,Dilithium5
Dilithium5,Post-Quantum,5,0.04042792320251465,0.00185867905466561,2592,0,10240,0.10158896446228027,0.04575269303917276,0.0498354434967041,0.0015372799393738622,4595,Dilithium5
Dilithium5,Post-Quantum,5,0.04042792320251465,0.00185867905466561,2592,0,102400,0.19314360618591309,0.04340534376782939,0.14321041107177734,0.0017196538285041123,4595,Dilithium5
Dilithium5,Post-Quantum,5,0.04042792320251465,0.00185867905466561,2592,0,1048576,1.151242971420288,0.13987681706638092,1.099700927734375,0.11320751932667009,4595,Dilithium5
Falcon-1024,Post-Quantum,5,10.307586908340454,2.6631192861221247,1793,0,1024,0.21091556549072266,0.0048953045550387524,0.03923678398132324,0.0016965782829785846,1273,Falcon
Falcon-1024,Post-Quantum,5,10.307586908340454,2.6631192861221247,1793,0,10240,0.2200932502746582,0.004535552103182585,0.04885292053222656,0.0014543686537639119,1272,Falcon
Falcon-1024,Post-Quantum,5,10.307586908340454,2.6631192861221247,1793,0,102400,0.3159618377685547,0.0038695445562970878,0.1422414779663086,0.0024837355920182525,1272,Falcon
Falcon-1024,Post-Quantum,5,10.307586908340454,2.6631192861221247,1793,0,1048576,1.2674739360809326,0.006978718943042096,1.0947625637054443,0.005643789849131725,1274,Falcon
Falcon-512,Post-Quantum,1,3.280071496963501,0.8067114472495867,897,0,1024,0.10733771324157715,0.0026061250243457307,0.02107977867126465,0.001883216651470411,655,Falcon
Falcon-512,Post-Quantum,1,3.280071496963501,0.8067114472495867,897,0,10240,0.11749744415283203,0.0026354863498171087,0.03044414520263672,0.0008954240077955595,658,Falcon
Falcon-512,Post-Quantum,1,3.280071496963501,0.8067114472495867,897,0,102400,0.21821355819702148,0.003432279396264658,0.12415289878845215,0.002433350698667281,655,Falcon
Falcon-512,Post-Quantum,1,3.280071496963501,0.8067114472495867,897,0,1048576,1.2343418598175049,0.006921242382120742,1.0758912563323975,0.005921852815176191,656,Falcon
Falcon-padded-1024,Post-Quantum,5,10.20337724685669,2.4158338900316183,1793,0,1024,0.21009159088134766,0.006982720767139599,0.03899264335632324,0.0011369289619937704,1280,Falcon
Falcon-padded-1024,Post-Quantum,5,10.20337724685669,2.4158338900316183,1793,0,10240,0.22004151344299316,0.004553787115350098,0.04838967323303223,0.0014407561745617336,1280,Falcon
Falcon-padded-1024,Post-Quantum,5,10.20337724685669,2.4158338900316183,1793,0,102400,0.3167598247528076,0.00720697378307299,0.14154624938964844,0.002801318430642086,1280,Falcon
Falcon-padded-1024,Post-Quantum,5,10.20337724685669,2.4158338900316183,1793,0,1048576,1.2694313526153564,0.013100665597651323,1.0920472145080566,0.008843244052337393,1280,Falcon
Falcon-padded-512,Post-Quantum,1,3.32119083404541,1.0784403962785394,897,0,1024,0.10660123825073242,0.0043596978861228045,0.020753860473632812,0.0010750985065175827,666,Falcon
