Algorithm,Type,Security Level,Key Generation (ms),Key Gen Std (ms),Encapsulation (ms),Encap Std (ms),Decapsulation (ms),Decap Std (ms),Public Key Size (bytes),Secret Key Size (bytes),Ciphertext Size (bytes),Shared Secret Size (bytes),Family
BIKE-L1,Post-Quantum,1,128.22791814804077,0.04601688151701258,6.888895034790039,0.04521538146550316,105.4334568977356,0.05686750887577771,1541,0,1573,32,BIKE
BIKE-L3,Post-Quantum,3,398.08021068573,0.05255125360033135,20.863149166107178,0.027621260990124075,333.68072986602783,0.2981552578845774,3083,0,3115,32,BIKE
BIKE-L5,Post-Quantum,5,996.0862731933594,0.08101467892587681,51.96678161621094,0.03920598320988541,832.9217553138733,0.21985257408621617,5122,0,5154,32,BIKE
Classic-McEliece-348864,Post-Quantum,1,944.552366733551,528.196300472417,0.9934210777282715,0.053984719271453555,166.56514167785645,0.04848343333646137,261120,0,96,32,Classic
Classic-McEliece-348864f,Post-Quantum,1,453.84427070617676,0.1753027325417778,1.0478401184082031,0.09223804382195892,166.55824422836304,0.042625002668903275,261120,0,96,32,Classic
Classic-McEliece-460896,Post-Quantum,3,2920.306556224823,1713.2252952124988,1.91847562789917,0.20785284155797554,268.4500193595886,0.04308549601342864,524160,0,156,32,Classic
Classic-McEliece-460896f,Post-Quantum,3,1432.1848392486572,6.426849931357479,1.9324398040771484,0.24645187278439512,268.42759132385254,0.048634359321407805,524160,0,156,32,Classic
Classic-McEliece-6688128,Post-Quantum,5,9723.080537319183,7860.10089719664,3.8791441917419434,0.3382079334633427,513.5426592826843,0.05750092134567279,1044992,0,208,32,Classic
Classic-McEliece-6688128f,Post-Quantum,5,3458.88055562973,29.142494782116668,3.9370274543762207,0.37910474436930786,513.5339951515198,0.04300910846012337,1044992,0,208,32,Classic
Classic-McEliece-6960119,Post-Quantum,5,8737.86639213562,6085.967323549823,6.805095672607422,0.2479554495444338,497.2934150695801,0.040305591542605934,1047319,0,194,32,Classic
Classic-McEliece-6960119f,Post-Quantum,5,3465.0210785865784,10.835333823111755,6.909689903259277,0.28352806237660455,497.2590446472168,0.04323907449273659,1047319,0,194,32,Classic
Classic-McEliece-8192128,Post-Quantum,5,14750.696587562561,12471.24540615368,4.817602634429932,0.28929920530389097,627.7782273292542,0.04630734351273268,1357824,0,208,32,Classic
Classic-McEliece-8192128f,Post-Quantum,5,4351.929893493652,13.17999616944391,4.823489189147949,0.24817841695078421,627.8075194358826,0.048919624309081526,1357824,0,208,32,Classic
FrodoKEM-1344-AES,Post-Quantum,5,221.74479484558105,0.06264798007600796,225.61022281646729,0.06450626058397836,224.74251747131348,0.06181181171168587,21520,0,21632,32,FrodoKEM
FrodoKEM-1344-SHAKE,Post-Quantum,5,69.1341495513916,0.06083950259018693,77.36621856689453,0.07596492093877419,77.417893409729,0.06401407322162879,21520,0,21632,32,FrodoKEM
FrodoKEM-640-AES,Post-Quantum,1,50.938518047332764,0.04546761267405426,51.84317588806152,0.06299510585757791,51.698505878448486,0.04871901944409153,9616,0,9720,16,FrodoKEM
FrodoKEM-640-SHAKE,Post-Quantum,1,17.025692462921143,0.034516460613432255,19.107191562652588,0.03771412151009169,18.9485764503479,0.02784476070723882,9616,0,9720,16,FrodoKEM
FrodoKEM-976-AES,Post-Quantum,3,117.44964122772217,0.05838333586466079,119.20429706573486,0.07545629618165667,119.26518678665161,0.05605166919527223,15632,0,15744,24,FrodoKEM
FrodoKEM-976-SHAKE,Post-Quantum,3,38.15627336502075,0.03457742650147083,42.33515977859497,0.05314472015466865,42.09516525268555,0.04127178734726756,15632,0,15744,24,FrodoKEM
HQC-128,Post-Quantum,1,15.044567584991455,0.03195838077463479,29.954819679260254,0.0406875507415345,45.313894748687744,0.0408651305047544,2249,0,4433,64,HQC
