Algorithm,Type,Security Level,Key Generation (ms),Key Gen Std (ms),Public Key Size (bytes),Secret Key Size (bytes),Message Size (bytes),Signing (ms),Sign Std (ms),Verification (ms),Verify Std (ms),Signature Size (bytes),Family
Dilithium2,Post-Quantum,2,0.023542404174804688,0.0018755900924685852,1312,0,1024,0.061892271041870124,0.03193012395622983,0.02506566047668457,0.0016825547443777534,2420,Dilithium2
Dilithium2,Post-Quantum,2,0.023542404174804688,0.0018755900924685852,1312,0,10240,0.07890772819519043,0.029149888189730064,0.044054508209228516,0.002948040823386705,2420,Dilithium2
Dilithium2,Post-Quantum,2,0.023542404174804688,0.0018755900924685852,1312,0,102400,0.2689032554626465,0.03423256182048199,0.2324516773223877,0.008294918746876346,2420,Dilithium2
Dilithium2,Post-Quantum,2,0.023542404174804688,0.0018755900924685852,1312,0,1048576,2.223479986190796,0.05934930592772305,2.186554193496704,0.0472080211735954,2420,Dilithium2
Dilithium3,Post-Quantum,3,0.03840470314025879,0.0024764385169666007,1952,0,1024,0.09401631355285645,0.05056026626840362,0.0391695499420166,0.0023483138252672286,3293,Dilithium3
Dilithium3,Post-Quantum,3,0.03840470314025879,0.0024764385169666007,1952,0,10240,0.11887621879577637,0.05457509567580789,0.05976152420043945,0.0054516640066272805,3293,Dilithium3
Dilithium3,Post-Quantum,3,0.03840470314025879,0.0024764385169666007,1952,0,102400,0.3098127841949463,0.051310919482347166,0.25472211837768555,0.008661311133644094,3293,Dilithium3
Dilithium3,Post-Quantum,3,0.03840470314025879,0.0024764385169666007,1952,0,1048576,2.250291109085083,0.07190896160022078,2.194856643676758,0.05059637229558564,3293,Dilithium3
Dilithium5,Post-Quantum,5,0.06159329414367676,0.004715149929244816,2592,0,1024,0.1175849437713623,0.04998118408464384,0.06011605262756348,0.0038442655980073545,4595,Dilithium5
Dilithium5,Post-Quantum,5,0.06159329414367676,0.004715149929244816,2592,0,10240,0.13548922538757324,0.05210929661008621,0.07915568351745605,0.004335423994529586,4595,Dilithium5
Dilithium5,Post-Quantum,5,0.06159329414367676,0.004715149929244816,2592,0,102400,0.3231182098388672,0.054287098169427485,0.26810216903686523,0.01620641412496709,4595,Dilithium5
